TRACKING_DAY,PRODUCT_ID,COUNT
17/02/2024,WS8CELL41RED,629
17/02/2024,MINIMO500CB,323
17/02/2024,KAR4054278618227,10
17/02/2024,HT20C209,205
17/02/2024,SAMUE65AU7022,224
17/02/2024,BRA3660767979482,163
17/02/2024,AUC3700538219154,17
17/02/2024,HTGARDEN2COIF1T,98
17/02/2024,BLA5035048709856,17
17/02/2024,SURPBOUT119,125
17/02/2024,MELE950222,570
17/02/2024,SAM8806094268164,24
17/02/2024,SURVAEVILLEGRIS,777
17/02/2024,SALONHILPEA,120
17/02/2024,AAAAL85318,1177
17/02/2024,IND8050147664377,119
17/02/2024,SCH4046664139225,22
17/02/2024,T62490C4210TA,590
17/02/2024,SURVAEVILLENOIR,10
17/02/2024,AAAAL84113,161
17/02/2024,BOS4242005151493,190
17/02/2024,OSTENANGCVGR,67
17/02/2024,WS8CELL45SWH,57
17/02/2024,82K202APFR,228
17/02/2024,XIA6934177734700,876
17/02/2024,BIS0011120272536,192
17/02/2024,OSTENANGCVBL,326
17/02/2024,INDH8A1ES,39
17/02/2024,KIT4046664040347,24
17/02/2024,HOT8050147621523,20
17/02/2024,SAMUE50AU7022,413
17/02/2024,MAK0088381839815,178
17/02/2024,XIA6934177734724,92
17/02/2024,WOO1695979316918,306
17/02/2024,POWXG6281,396
18/02/2024,INDH8A1ES,23
18/02/2024,AUC4251822529705,15
18/02/2024,MINIMO500CB,131
18/02/2024,BRA3660767979482,178
18/02/2024,SURPBOUT119,133
18/02/2024,AAAAL84113,147
18/02/2024,AAAAL85318,1235
18/02/2024,WAYNE13846,451
18/02/2024,SALONCUBA,694
18/02/2024,KIT4046664040347,24
18/02/2024,HOT8050147621523,17
18/02/2024,82K202APFR,366
18/02/2024,TABEXTAL97149,275
18/02/2024,PS5STDCHASSISD,605
18/02/2024,WS8CELL45SWH,98
18/02/2024,BLA5035048709856,20
18/02/2024,T62490C4210TA,182
18/02/2024,XIA6934177734724,109
18/02/2024,HTGARDEN2COIF1T,112
18/02/2024,SALONHILPEA,143
18/02/2024,MAK0088381839815,206
18/02/2024,POWXG6281,141
18/02/2024,WS8CELL41RED,783
18/02/2024,WOO1695979316918,350
18/02/2024,KAR4054278834221,29
18/02/2024,TONCABANE3X4,846
18/02/2024,SAMUE65AU7022,250
18/02/2024,HT20C209,1117
18/02/2024,SURVAEVILLEGRIS,726
18/02/2024,XIA6934177734700,956
18/02/2024,BIS0011120272536,309
18/02/2024,MELE950222,705
18/02/2024,IND8050147664377,207
19/02/2024,INS1690540118478,117
19/02/2024,SURVTTTTSUSP13,37
19/02/2024,MAK0088381839815,27
19/02/2024,IND8050147664377,38
19/02/2024,CELED55SGUHD24B6,65
19/02/2024,SALONHILPEA,24
19/02/2024,WS8CELL45SWH,24
19/02/2024,AAAAL85318,232
19/02/2024,INS1697726170172,26
19/02/2024,5904804905,244
19/02/2024,82JH00LPFR,52
19/02/2024,AUC3663700002438,64
19/02/2024,JBL6925281961724,111
19/02/2024,AAAAL84113,37
19/02/2024,BUNBISSELL1558N,15
19/02/2024,WAYNE13846,97
19/02/2024,PS5STDCHASSISD,1028
19/02/2024,HAMILTONANCVBL,391
19/02/2024,ROW1685059577318,287
19/02/2024,SURVAEVILLEGRIS,10
19/02/2024,JPTS86Q36F,56
19/02/2024,AUC3663700002452,373
19/02/2024,SAMUE65AU7022,69
19/02/2024,82K202APFR,68
19/02/2024,BIS0011120272536,56
19/02/2024,TONCABANE3X4,204
19/02/2024,INS1688557629188,97
19/02/2024,CAN4549292165791,578
19/02/2024,WS8CELL41RED,149
19/02/2024,HP15FC0071NF,22
19/02/2024,ZJF180CZ,863
19/02/2024,TEFL897DS04,43
19/02/2024,CELED32SAHD24B3,298
19/02/2024,HTGARDEN2COIF1T,34
19/02/2024,SAM8806094817911,377
19/02/2024,CAT3612409428650,198
19/02/2024,HT20C209,244
19/02/2024,XIA6934177734700,195
19/02/2024,SALONCUBA,172
19/02/2024,30035741,31
19/02/2024,SAMUE50AU7022,46
19/02/2024,CELED65SGUHD24B6,53
19/02/2024,HAI6901018079726,47
19/02/2024,AUC0758277768153,15
19/02/2024,WOO1695979316918,61
19/02/2024,AUC3663700002445,67
19/02/2024,BRA3660767979482,35
19/02/2024,MELE950222,116
19/02/2024,TABEXTAL97149,81
19/02/2024,CELED32HD24B3,1736
19/02/2024,BIS0011120273755,22
19/02/2024,SURPBOUT119,29
20/02/2024,BOS4059952525327,10
20/02/2024,JPTS84Q36FW,10
20/02/2024,CELED32SAHD24B3,118
20/02/2024,SAM8806094817911,366
20/02/2024,AUC0758277768153,10
20/02/2024,HOT8050147621523,23
20/02/2024,JBL6925281961724,71
20/02/2024,HP15FC0071NF,20
20/02/2024,HAMILTONANCVBL,354
20/02/2024,ZJF180CZ,311
20/02/2024,5904804905,214
20/02/2024,82JH00LPFR,47
20/02/2024,CAT3612409428650,128
20/02/2024,NIN0622356232715,34
20/02/2024,CELED55SGUHD24B6,43
20/02/2024,AUC3663700002445,17
20/02/2024,DODOLETOPAFFAI60,54
20/02/2024,INS1690540118478,48
20/02/2024,PS5STDCHASSISD,741
20/02/2024,CAN4549292165791,592
20/02/2024,SAMUE50AU7022,50
20/02/2024,CELED65SGUHD24B6,27
20/02/2024,HAI6901018079726,43
20/02/2024,JPTS86Q36F,77
20/02/2024,AUC3663700002452,137
20/02/2024,ROW1685059577318,214
20/02/2024,AUC3663700002438,26
20/02/2024,INS1688557629188,35
20/02/2024,BIS0011120273755,18
20/02/2024,30035741,181
20/02/2024,NIN0622356239561,68
20/02/2024,CELED32HD24B3,476
20/02/2024,SURVTTTTSUSP13,22
20/02/2024,TEFL897DS04,15
21/02/2024,CAN4549292165791,582
21/02/2024,HP15FC0071NF,21
21/02/2024,BOS4059952525327,19
21/02/2024,30035741,433
21/02/2024,SURVTTTTSUSP13,32
21/02/2024,SAM8806094817911,350
21/02/2024,SAM1693724892320,330
21/02/2024,BIS0011120273755,10
21/02/2024,CELED32SAHD24B3,26
21/02/2024,ROW1685059577318,42
21/02/2024,82JH00LPFR,38
21/02/2024,HAMILTONANCVBL,52
21/02/2024,PS5STDCHASSISD,609
21/02/2024,JPTS86Q36F,51
21/02/2024,5904804905,297
21/02/2024,AUC0735279728903,54
21/02/2024,JBL6925281961724,65
21/02/2024,SAMUE50AU7022,59
21/02/2024,HAI6901018079726,19
22/02/2024,5904804905,278
22/02/2024,CELED32HD24B3,20
22/02/2024,82JH00LPFR,56
22/02/2024,SAM1693724892320,425
22/02/2024,SURVTTTTSUSP13,24
22/02/2024,CELED32SAHD24B3,81
22/02/2024,VARIA6510A4PM,21
22/02/2024,BIS0011120273755,18
22/02/2024,CELED55SGUHD24B6,38
22/02/2024,BOS4059952525327,23
22/02/2024,PS5STDCHASSISD,497
22/02/2024,CAN4549292165791,487
22/02/2024,HAMILTONANCVBL,42
22/02/2024,30035741,413
22/02/2024,SAM8806094817911,149
22/02/2024,AUC0735279728903,34
22/02/2024,ROW1685059577318,42
22/02/2024,CELL8140IW,24
22/02/2024,JBL6925281961724,58
22/02/2024,CELED65SGUHD24B6,73
22/02/2024,SAMUE50AU7022,50
22/02/2024,HP15FC0071NF,21
23/02/2024,AIG8719138829774,148
23/02/2024,HAMILTONANCVBL,236
23/02/2024,CELED65SGUHD24B6,29
23/02/2024,CELL8140IW,43
23/02/2024,VARIA6510A4PM,20
23/02/2024,CELED55SGUHD24B6,17
23/02/2024,AIG8719138812332,46
23/02/2024,SURVTTTTSUSP13,24
23/02/2024,PS5STDCHASSISD,443
23/02/2024,AIG1706539164029,166
23/02/2024,BIS0011120273755,26
23/02/2024,82JH00LPFR,34
23/02/2024,NTU241C251,20
23/02/2024,SAM1693724892320,101
23/02/2024,CAN4549292165791,463
23/02/2024,BOS4059952525327,17
23/02/2024,SAMUE50AU7022,39
23/02/2024,JBL6925281961724,58
23/02/2024,AIG8433325205089,2208
23/02/2024,ROW1685059577318,40
23/02/2024,30035741,398
23/02/2024,AIG8433325212209,175
23/02/2024,CELED32SAHD24B3,39
23/02/2024,5904804905,235
24/02/2024,CELED32SAHD24B3,1341
24/02/2024,ROW1685059577318,17
24/02/2024,JBL6925281961724,44
24/02/2024,AIG8433325205089,1197
24/02/2024,CELED32HD24B3,116
24/02/2024,AUC3663700002438,51
24/02/2024,CELED55SGUHD24B6,18
24/02/2024,CEFC251NFIX,10
24/02/2024,82JH00LPFR,22
24/02/2024,AIG1706539164029,82
24/02/2024,CAN4549292165791,99
24/02/2024,CELL8140IW,37
24/02/2024,AUC3663700002445,54
24/02/2024,AIG8433325212209,101
24/02/2024,AIG8719138829774,89
24/02/2024,CELED65SGUHD24B6,49
24/02/2024,NTU241C251,28
