DISPLAY_DATE,SKU,IMPRESSION_COUNT,ACQUISITION_COST
17/02/2024,SOM3660849579418,1280,0
22/02/2024,MOM0745437488297,1280,0
27/02/2024,ROW3221616018891,1280,0
28/02/2024,HIS6942147491935,1280,0
29/02/2024,CTR0782846975208,1280,0
01/03/2024,AUC0635133102408,1280,0
12/03/2024,BOS0603681200,1280,0
20/03/2024,ANK0194644016975,1280,0
24/03/2024,ROB1692171749403,1280,0
31/03/2024,BES6941607311257,1280,0
14/04/2024,PHI8710103814405,1280,0
15/04/2024,EMM4251822574477,1280,0
04/03/2024,EMM4251822533603,2560,0
16/03/2024,SAV3663947017349,2560,0
19/02/2024,AIG8433325500863,1025,0
21/02/2024,PAW3662970077078,1025,0
25/02/2024,MBA0103,1025,0
29/02/2024,BUNROWY5034FE,1025,0
02/03/2024,AUC0850052972264,1025,0
03/03/2024,ROB9436902610671,1025,0
03/03/2024,AUT0632111345819,1025,0
09/03/2024,OCL9436902610046,1025,0
09/03/2024,HOM3662970078211,1025,0
12/03/2024,ROB9397135504185,1025,0
13/03/2024,PIX0659701383617,1025,0
17/03/2024,SOM3660849589486,1025,0
19/03/2024,GRE8435574312495,1025,0
21/03/2024,ROB9436902610466,1025,0
25/03/2024,COS0783501253839,1025,0
31/03/2024,KLE3662970111604,1025,0
05/04/2024,AUC1688109160948,1025,0
05/04/2024,OCCC5WZ2FWVARA3,1025,0
06/04/2024,EMM4260568040399,1025,0
10/04/2024,5133001780,1025,0
11/04/2024,SON6955880323319,1025,0
13/04/2024,BUN4892210152626,1025,0
13/04/2024,BOS3165140651219,1025,0
15/04/2024,RN13PROPLUS512W,1025,0
01/04/2024,439030KS7T,2305,0
01/04/2024,DRE6973734681798,2305,0
17/02/2024,AIG8433325213435,770,0
18/02/2024,CIR3701233100136,770,0
20/02/2024,PHI8710103951735,770,0
22/02/2024,AUC0617748459122,770,0
22/02/2024,CIR3701233100136,770,0
24/02/2024,SOM3660849595777,770,0
25/02/2024,CALFV5715C0,770,0
25/02/2024,AIG8433325201289,770,0
25/02/2024,NUM3700192302100,770,0
26/02/2024,MOU1695304013924,770,0
27/02/2024,CTR0727152275345,770,0
28/02/2024,TRISMART,770,0
28/02/2024,BOS4059952570143,770,0
28/02/2024,XIA6934177744761,770,0
01/03/2024,LAR1685358715601,770,0
01/03/2024,FUX4260586996951,770,0
02/03/2024,COS1684919638394,770,0
03/03/2024,03KNESS6,770,0
04/03/2024,GRE8436550529425,770,0
05/03/2024,OTO0632111345666,770,0
05/03/2024,AUC4251822505266,770,0
05/03/2024,OCCCN4Q7RCDT66A,770,0
05/03/2024,RIP3174269047346,770,0
06/03/2024,5030934125260,770,0
07/03/2024,AUC0742025052977,770,0
07/03/2024,ANR1700798481294,770,0
07/03/2024,KITCHCOOKAK80RED,770,0
09/03/2024,HON6975456156677,770,0
11/03/2024,WIM1695804497023,770,0
13/03/2024,MAU3760048797931,770,0
16/03/2024,AUC3665884035097,770,0
16/03/2024,HTENZOHTK1101BL,770,0
17/03/2024,PAW3662970077078,770,0
19/03/2024,HUE5012663921863,770,0
21/03/2024,CAM1695712593327,770,0
23/03/2024,ATH8790269400155,770,0
23/03/2024,SOM3660849589509,770,0
26/03/2024,3302ENSE,770,0
26/03/2024,AAAAI25388,770,0
30/03/2024,BOI0191491056697,770,0
30/03/2024,DRE6973734684324,770,0
03/04/2024,OCCXT5D1KEP3AQ9,770,0
05/04/2024,HYT1702265604408,770,0
06/04/2024,SOM3660849571245,770,0
06/04/2024,VIS0762027822415,770,0
08/04/2024,CAM1695712593327,770,0
08/04/2024,TEE1702446625189,770,0
08/04/2024,25378502,770,0
10/04/2024,HAS5010994112028,770,0
10/04/2024,EUF0194644020798,770,0
10/04/2024,COS1705653066254,770,0
12/04/2024,VAP8007411012716,770,0
13/04/2024,PAW3662970068229,770,0
15/04/2024,VIS0762027822415,770,0
15/04/2024,LAU0632111261843,770,0
15/04/2024,EIN4006825615203,770,0
04/03/2024,BOS3165140651219,2050,0
17/02/2024,TEE0756244082981,515,0
18/02/2024,ROB6970995786514,515,0
18/02/2024,AUC1703150205605,515,0
20/02/2024,BUNHUEPRISE2X,515,0
20/02/2024,AUC6973931310415,515,0
20/02/2024,OMA8698797185912,515,0
20/02/2024,VAS0194343018157,515,0
21/02/2024,DRE9581254367077,515,0
21/02/2024,PRO1685003352160,515,0
22/02/2024,FILIP160NOLED,515,0
22/02/2024,RCDAPP0037446EXE,515,0
23/02/2024,NOK1686259194662,515,0
23/02/2024,SAM8806094817911,515,0
23/02/2024,IDM3662897022717,515,0
23/02/2024,AUC0617748459122,515,0
24/02/2024,HOM3662970043448,515,0
24/02/2024,COS1684919638394,515,0
24/02/2024,OCCA5S152068557,515,0
24/02/2024,AUC3584179046696,515,0
25/02/2024,AUC0714651373078,515,0
25/02/2024,TEE1702446625189,515,0
26/02/2024,SEB1686666574300,515,0
26/02/2024,LAR1698836880897,515,0
26/02/2024,SEN3760256511466,515,0
26/02/2024,83BF005GFR,515,0
26/02/2024,COS1702886602102,515,0
28/02/2024,5133001779,515,0
28/02/2024,TEE0754407089198,515,0
28/02/2024,SEN3760256511466,515,0
29/02/2024,BOS4242005208401,515,0
01/03/2024,MOU3700342455755,515,0
01/03/2024,AUC1692929829434,515,0
02/03/2024,KRUPSYY1500FD,515,0
04/03/2024,RCB8396083528589,515,0
04/03/2024,LAU0632111345949,515,0
04/03/2024,AUC0742025052977,515,0
04/03/2024,SOB4251388612927,515,0
05/03/2024,BOS4242005208401,515,0
05/03/2024,NUM3700192309529,515,0
06/03/2024,AIG1706539164029,515,0
06/03/2024,KIT3662738034855,515,0
07/03/2024,AUC0850032809177,515,0
07/03/2024,POLYBECH,515,0
09/03/2024,AUT0632111260983,515,0
09/03/2024,FUX4260586998832,515,0
09/03/2024,BOS4053423201833,515,0
10/03/2024,RCB1689664116361,515,0
11/03/2024,TYR6282225812116,515,0
11/03/2024,AOV0123112340243,515,0
11/03/2024,EMM1685371648969,515,0
12/03/2024,SOB4251388612927,515,0
12/03/2024,MP120416798,515,0
12/03/2024,CIA0603981973914,515,0
13/03/2024,TMBABTV2PCBE,515,0
13/03/2024,CAL3121040076828,515,0
13/03/2024,AUC4251822505266,515,0
14/03/2024,HON1685358264906,515,0
15/03/2024,AUC0635133102408,515,0
15/03/2024,TEF3168430338760,515,0
15/03/2024,HOM3662970083390,515,0
16/03/2024,TEF3168430338760,515,0
16/03/2024,503928,515,0
17/03/2024,WIC4251511804069,515,0
